,state,count_change_percent,sum_change_percent,median_change_percent,boa_count,citi_count,income,total_population,male,female,median_age,bachelor_or_higher,labor,no_insurance,poverty,label
0,Alabama,0.0,0.0,0.0,0.0,0.0,0.5550843563316484,0.10992137104568005,0.019120458891013385,0.07414448669201518,0.18367346938775514,0.0781818181818182,0.06401137980085349,0.4607329842931937,0.4697674418604652,0.0
1,Alaska,0.0,0.0,0.0,0.0,0.0,0.8879275257664282,0.003932195090522518,0.09369024856596556,0.0,0.06349206349206342,0.16,0.2389758179231863,0.7277486910994763,0.09302325581395349,0.0
2,Arizona,-0.03103448275862069,0.051435115831955945,0.2886212077281953,0.15641855447680691,0.0,0.6466749819470886,0.1584261581083693,0.043977055449330865,0.049429657794676694,0.14512471655328796,0.15272727272727277,0.08534850640113799,0.5392670157068062,0.4186046511627907,-1.0
3,Arkansas,0.0,0.0,0.0,0.02481121898597627,0.0,0.5897984638613536,0.061393363829650154,0.03250478011472281,0.0608365019011406,0.16553287981859405,0.03999999999999999,0.07112375533428165,0.4450261780104712,0.4511627906976744,0.0
4,California,0.03532875368007851,0.13298569673103983,0.04775645182207237,1.0,1.0,0.7941574213877766,0.9849454803169899,0.0420650095602295,0.05133079847908737,0.12471655328798185,0.22727272727272727,0.1422475106685633,0.4764397905759163,0.3348837209302325,-1.0
5,Colorado,-0.01680672268907563,-0.1001159779465808,0.2151498707185495,0.0010787486515641855,0.0,0.8001050351211186,0.12297437020810514,0.05544933078393879,0.03802281368821293,0.13151927437641717,0.34727272727272723,0.2119487908961592,0.36649214659685864,0.1302325581395349,-1.0
6,Connecticut,0.0196078431372549,0.051256915582593,0.08086758507538684,0.15210355987055016,0.04199475065616798,0.9211711416004726,0.07763736872624187,0.026768642447418712,0.06653992395437262,0.22675736961451246,0.34181818181818185,0.19914651493598862,0.18848167539267016,0.07441860465116286,2.0
7,Delaware,0.0,0.0,0.0,0.004314994606256742,0.0026246719160104987,0.7552287796231865,0.00905768958185684,0.02103250478011475,0.0722433460076045,0.20634920634920637,0.2072727272727273,0.14082503556187764,0.23560209424083767,0.1534883720930233,0.0
8,Florida,0.06779661016949153,0.16693939751301204,0.12657598322535552,0.6494066882416397,0.14173228346456693,0.6057900610516641,0.497626286966046,0.02868068833652008,0.06463878326996195,0.25170068027210885,0.1472727272727273,0.07681365576102417,0.6963350785340314,0.33953488372093027,1.0
9,Georgia,0.025,0.304854116346242,0.2116353521570274,0.20280474649406688,0.0,0.6506269283791768,0.2451695122736937,0.024856596558317484,0.06844106463878316,0.126984126984127,0.18000000000000005,0.13086770981507817,0.6544502617801047,0.42325581395348844,2.0
10,Hawaii,0.0,0.0,0.0,0.0,0.0,0.93511455392897,0.02152974679466529,0.05927342256214152,0.03422053231939158,0.1723356009070295,0.21454545454545457,0.16500711237553337,0.10471204188481674,0.10232558139534889,0.0
11,Idaho,-0.043478260869565216,0.1398077770613381,0.14646745167740502,0.004314994606256742,0.0,0.701608350292129,0.027068127053669223,0.04971319311663483,0.04372623574144481,0.1224489795918367,0.10545454545454547,0.12375533428165002,0.5392670157068062,0.2604651162790698,2.0
12,Illinois,-0.10653753026634383,0.14709218747438946,0.3662372940764108,0.1855447680690399,0.18635170603674542,0.7210135889187947,0.31689780297661235,0.03250478011472281,0.0608365019011406,0.15873015873015872,0.24727272727272723,0.17354196301564728,0.3350785340314136,0.24186046511627912,-1.0
13,Indiana,0.0,0.09288557372542124,0.05909349184841995,0.0,0.0,0.6309984901201339,0.15495656207718575,0.034416826003824175,0.05893536121672993,0.15646258503401356,0.1,0.15362731152204834,0.4502617801047121,0.27906976744186046,-1.0
14,Iowa,0.0,0.0,0.0,0.007551240560949299,0.0,0.759010043983457,0.06502088782939243,0.043977055449330865,0.049429657794676694,0.17460317460317465,0.15454545454545454,0.20768136557610234,0.1518324607329843,0.13953488372093023,0.0
15,Kansas,0.0,0.0,0.0,0.04638619201725998,0.0,0.701687126632968,0.0597865601443206,0.045889101338432096,0.04752851711026616,0.12925170068027217,0.22363636363636366,0.18207681365576098,0.36125654450261774,0.2046511627906977,0.0
